,names,city,address,phone,categoria
0,Full Contact Studio,Guatemala - Guatemala,2 C 10-06 Z-1,(+502) 2232 6575,Gimnasios de Educación Física
1,Club Atletico Atenas,Guatemala - Guatemala,Diagonal 14. 22-06 Zona 5,(+502) 2335 3680,Gimnasios de Educación Física
2,Le Petit Spa,Guatemala - Guatemala,Dg 6 14-86 Z 10,(+502) 2366 7508,Gimnasios de Educación Física
3,Madiel Spa,Guatemala - Guatemala,Av las Americas 7-30 Z 13 Edif Real América L 3d 3 Nivel,(+502) 2360 5070,Gimnasios de Educación Física
4,Armonia Colonial,Guatemala - Guatemala,Boulevard Principal 23 Calle 18-96 Zona 7 Centro Comercial Paseo,(+502) 5632 6476,Gimnasios de Educación Física
5,Fitness One,Guatemala - Guatemala,Boulevard Los Próceres 25-74 Zona 10,(+502) 2423 6000,Gimnasios de Educación Física
6,Dr. Spa,Amatitlán - Guatemala,Kilómetro 29.5 Centro Comercial Flores del Lago Nivel 3 Local 4 Amatitlán,(+502) 6632 9534,Gimnasios de Educación Física
7,Zona Libre,Huehuetenango - Huehuetenango,2 Avenida A 1-53 zona 3 Huehuetenango,(+502) 4284 9059,Gimnasios de Educación Física
8,Solaz Sauna Y Masaje,Jocotenango - Sacatepequez,Diagonal 1 Número 34 Zona 4 Jocotenango Sacatepequez,(+502) 5588 2533,Gimnasios de Educación Física
9,Massage Spa,Guatemala - Guatemala,3 Calle 8-76 Zona 8 De Mixco Boulevard Principal Edicifio Centro Empresarial,(+502) 2480 7042,Gimnasios de Educación Física
10,Squash Zone,Guatemala - Guatemala,10 Avenida 10-50 Zona 14,(+502) 5580 1015,Gimnasios de Educación Física
11,Sforzo Gym,Guatemala - Guatemala,Calzada Roosevelt 12-25 Zona 11,(+502) 2440 2489,Gimnasios de Educación Física
12,La Farfalla,Guatemala - Guatemala,Boulevard Principal 3 Calle 8-88 Zona 8 Mixco Cd. San Cristobal,(+502) 2322 3100,Gimnasios de Educación Física
13,Nova Spa Estetico,Guatemala - Guatemala,"Boulevar Los Proceres 25-74, zona 10 Guatemala",(+502) 4110 3089,Gimnasios de Educación Física
14,San Silvestre Spa Sauna Y Jacuzzi,Guatemala - Guatemala,1 Av Cl A 4-64 Z 7 Almolonga Quetzaltenango,(+502) 7766 8587,Gimnasios de Educación Física
15,Sporta Guatemala S.A.,Guatemala - Guatemala,KM 18.5 CARRET A EL SALVADOR,(+502) 6625 9100,Gimnasios de Educación Física
16,Vmedical Spa,Guatemala - Guatemala,3 Cl A 8-38 Edif Renova Z 10 3 Nivel,(+502) 3006 3604,Gimnasios de Educación Física
17,Fiore,Guatemala - Guatemala,Av Americas 9-55 Plaza Oro L 10,(+502) 2366 7166,Gimnasios de Educación Física
18,Hostal Los Volcanes,Guatemala - Guatemala,16 Calle 8-00 Zona 13 Aurora 1,(+502) 2360 3232,Gimnasios de Educación Física
19,Prodepsa Gimnasio,Guatemala - Guatemala,10 Av 10-50 Z 14 C.C. Plaza Futeca L 21,(+502) 2366 8054,Gimnasios de Educación Física
20,San Gregorio Hotel Y Spa,Guatemala - Guatemala,Km 30.5 Carrt A Santa Elena Barillas Lt 50 Lotificación San Gregorios Vista al Lago,(+502) 6634 3666,Gimnasios de Educación Física
21,World Gym (San Cristobal),Guatemala - Guatemala,3a Cl 62-72 Sector A 3 Boulevar San Cristobal Z 8 Mixco C.C. Sankrismol,(+502) 2423 6000,Gimnasios de Educación Física
22,Carla S Salón & Day Spa,Guatemala - Guatemala,Av 21 A 0-97 Z 15 Vista Hermosa 2,(+502) 2365 7944,Gimnasios de Educación Física
23,Beauty Clinic Salon Y Day Spa,Guatemala - Guatemala,Av 21 9-05 Z 11 Mirador 1,(+502) 2474 3609,Gimnasios de Educación Física
24,Cy Sport,Guatemala - Guatemala,5 Cl Z 6 V. Nueva Czda Concepcion Plz Villa Nueva,(+502) 6636 6452,Gimnasios de Educación Física
25,Fut Y Pub,Quetzaltenango - Quetzaltenango,C.C. Las Americas Int. Profutbol Xela 8 Calle 0-90 Zona 9,(+502) 7763 5077,Gimnasios de Educación Física
26,Icom Hitech,Guatemala - Guatemala,C.C. Gran Via Local 01 Zona 07,(+502) 2475 2508,Gimnasios de Educación Física
27,Libreria Y P.A.P. Oscar De León P.A.L.A. No. 5,Guatemala - Guatemala,7 Avenida 9-35 Zona 1,(+502) 2232 5060,Gimnasios de Educación Física
28,Pet Shop Don Diego,Guatemala - Guatemala,Manzana 2 Lote 8A San Rafael Buenavista Zona 18,(+502) 2242 6645,Gimnasios de Educación Física
29,Serviicasa,Escuintla - Escuintla,4 Av. 3-44 Zona 1,(+502) 7889 2196,Gimnasios de Educación Física
30,Wirenet (Quetzaltenango),Quetzaltenango - Quetzaltenango,29 Av. 8 A-26 Zona 7 Quetzaltenango,(+502) 7763 7474,Gimnasios de Educación Física
31,"Accounting Auditores & Consultores, S.A.",Guatemala - Guatemala,"Diagonal 6, 16-21 Zona 10 Guatemala",(+502) 2366 7342,Gimnasios de Educación Física
32,Alive Smart Fitness,Guatemala - Guatemala,Dg 6 12-42 Zona 10 Design Center L 211,(+502) 2206 8000,Gimnasios de Educación Física
33,Escuela Manejarte,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,Gimnasios de Educación Física
34,Lainfiesta Godoy S.A.,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,Gimnasios de Educación Física
35,Sistemas Litográficos,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,Gimnasios de Educación Física
36,Salud Y Belleza Integral,Guatemala - Guatemala,15 Calle 1-11 Edificio Terra Esperanza Nivel 10 Zona 10,(+502) 2300 0510,Gimnasios de Educación Física
37,Renueva Tu Figura Hoy,Guatemala - Guatemala,8 Avenida 40-59 Zona 8,(+502) 4207 8637,Gimnasios de Educación Física
38,Gimnasio Mega Gym,San Marcos - San Marcos,3 Av Zona 1 Cantón Pueblo Nuevo Pajapita,(+502) 4837 4071,Gimnasios de Educación Física
39,Monkey Business Calisthenics,Guatemala - Guatemala,5 Av 5-55 Z 14,(+502) 2366 5759,Gimnasios de Educación Física
40,Golden Clinic,Guatemala - Guatemala,"9a Cl 24-38, Zna 7 Plaza Castilla 2do. Nivel",(+502) 3526 5337,Gimnasios de Educación Física
41,Asociación De Pentatlon Moderno,Guatemala - Guatemala,3A Cl 16-15 Zona 15,(+502) 2369 4468,Federaciones Deportivas
42,Comite Olimpico Guatemalteco,Guatemala - Guatemala,10 Cl 2-28 Zona 9,(+502) 2223 9500,Federaciones Deportivas
43,Federación Nacional De Beisbol,Guatemala - Guatemala,Av Simeon Cañas Final Zona 2,(+502) 2254 1119,Federaciones Deportivas
44,Federación Nacional De Boxeo De Guatemala,Guatemala - Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,(+502) 2361 8263,Federaciones Deportivas
45,Federación Nacional De Esgrima C.D.A.G.,Guatemala - Guatemala,12 Av 25 Cl Zona 5,(+502) 2331 2680,Federaciones Deportivas
46,Federación Nacional De Remo Y Canotaje De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Zona 5,(+502) 2339 3376,Federaciones Deportivas
47,Federación Nacional De Voleibol,Guatemala - Guatemala,Gimnacio 7 De Diciembre Zona 5,(+502) 2434 4006,Federaciones Deportivas
48,Direccion General De Educacion Fisica,Guatemala - Guatemala,32 Cl 9-10 Zona 11,(+502) 2422 6800,Federaciones Deportivas
49,Federacion Nacional De Futbol,Guatemala - Guatemala,2 Cl 15-57 Zona 15,(+502) 2422 7777,Federaciones Deportivas
50,Federacion Nacional De Ciclismo De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Z.5,(+502) 2332 3979,Federaciones Deportivas
51,Federación Nacional De Balonmano,Guatemala - Guatemala,Av 14 18-13 Zona 13,(+502) 2493 4200,Federaciones Deportivas
52,Federacion Nacional De Baloncesto,Guatemala - Guatemala,Gimnasio Nacional Teodoro Palacios Flores Z.5,(+502) 2361 9851,Federaciones Deportivas
53,Asociación De Pentatlon Moderno,Guatemala - Guatemala,3A Cl 16-15 Zona 15,(+502) 2369 4468,Federaciones Deportivas
54,Comite Olimpico Guatemalteco,Guatemala - Guatemala,10 Cl 2-28 Zona 9,(+502) 2223 9500,Federaciones Deportivas
55,Federación Nacional De Beisbol,Guatemala - Guatemala,Av Simeon Cañas Final Zona 2,(+502) 2254 1119,Federaciones Deportivas
56,Federación Nacional De Boxeo De Guatemala,Guatemala - Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,(+502) 2361 8263,Federaciones Deportivas
57,Federación Nacional De Esgrima C.D.A.G.,Guatemala - Guatemala,12 Av 25 Cl Zona 5,(+502) 2331 2680,Federaciones Deportivas
58,Federación Nacional De Remo Y Canotaje De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Zona 5,(+502) 2339 3376,Federaciones Deportivas
59,Federación Nacional De Voleibol,Guatemala - Guatemala,Gimnacio 7 De Diciembre Zona 5,(+502) 2434 4006,Federaciones Deportivas
60,Direccion General De Educacion Fisica,Guatemala - Guatemala,32 Cl 9-10 Zona 11,(+502) 2422 6800,Federaciones Deportivas
61,Federacion Nacional De Futbol,Guatemala - Guatemala,2 Cl 15-57 Zona 15,(+502) 2422 7777,Federaciones Deportivas
62,Federacion Nacional De Ciclismo De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Z.5,(+502) 2332 3979,Federaciones Deportivas
63,Federación Nacional De Balonmano,Guatemala - Guatemala,Av 14 18-13 Zona 13,(+502) 2493 4200,Federaciones Deportivas
64,Federacion Nacional De Baloncesto,Guatemala - Guatemala,Gimnasio Nacional Teodoro Palacios Flores Z.5,(+502) 2361 9851,Federaciones Deportivas
65,Dance Studio,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,Baile
66,Academia Scenic Dance,Guatemala - Guatemala,3 Avenida 14-19 Zona 14,(+502) 5204 7081,Baile
67,Dance Studio S.A.,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,Baile
68,Ballet Nacional De Guatemala,Guatemala - Guatemala,5 Cl 03-43 Z 1,(+502) 2253 3118,Baile
69,New Time Crew,Guatemala - Guatemala,6 Avenida 3-39 Nivel 3 Zona 1,(+502) 5922 7937,Baile
70,Estudio Internacional Awalim Danza Árabe,Guatemala - Guatemala,"3ra calle, 3-59 zona 1 La casona",(+502) 5280 2307,Baile
71,Olé Flamenco En Guatemala,Guatemala - Guatemala,Km 24.5 Carret el Salvador Condominio Joya de Oro Casa 17,(+502) 5770 7050,Baile
72,Academia Dance Vision,Guatemala - Guatemala,3 Cl 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
73,Al-Tamira - Quiero Clientes,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
74,Al-Tamira,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
75,Sky Dance Academy,Guatemala - Guatemala,Bul Tulmtzu 17 Av 2-15 C.C. Valle del Sol Z.4 Mixco,(+502) 2431 4113,Baile
76,Dance Studio,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,Baile
77,Academia Scenic Dance,Guatemala - Guatemala,3 Avenida 14-19 Zona 14,(+502) 5204 7081,Baile
78,Dance Studio S.A.,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,Baile
79,Ballet Nacional De Guatemala,Guatemala - Guatemala,5 Cl 03-43 Z 1,(+502) 2253 3118,Baile
80,New Time Crew,Guatemala - Guatemala,6 Avenida 3-39 Nivel 3 Zona 1,(+502) 5922 7937,Baile
81,Estudio Internacional Awalim Danza Árabe,Guatemala - Guatemala,"3ra calle, 3-59 zona 1 La casona",(+502) 5280 2307,Baile
82,Olé Flamenco En Guatemala,Guatemala - Guatemala,Km 24.5 Carret el Salvador Condominio Joya de Oro Casa 17,(+502) 5770 7050,Baile
83,Academia Dance Vision,Guatemala - Guatemala,3 Cl 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
84,Al-Tamira - Quiero Clientes,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
85,Al-Tamira,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,Baile
86,Sky Dance Academy,Guatemala - Guatemala,Bul Tulmtzu 17 Av 2-15 C.C. Valle del Sol Z.4 Mixco,(+502) 2431 4113,Baile
87,Metro Bowl,Guatemala - Guatemala,Cl 2 Bul Vista Hermosa 15-93 Zona 15,(+502) 2243 2424,Bolos
88,Cosenza Academy,San José Pinula - Guatemala,"Km 18.9 Carretera A San José Pinula, C.C. la Plazoleta Ciudad de Guatemala",(+502) 6637 5035,Artes Marciales
89,Trofeos Finos,Guatemala - Guatemala,18 Calle 12-79 Zona 7 de Mixco Colonia San Ignacio,(+502) 2434 5633,Deportes
90,Eurobike S.A.,Guatemala - Guatemala,27 Avenida 33-80 Zona 12 Santa Elisa Bodega # 10,(+502) 2442 4825,Deportes
91,Cosenza Academy,San José Pinula - Guatemala,"Km 18.9 Carretera A San José Pinula, C.C. la Plazoleta Ciudad de Guatemala",(+502) 6637 5035,Deportes
92,Bodegas De Mayoreo Super Cicles,Guatemala - Guatemala,6ta. Avenida 6-71 Zona 4 Guatemala,(+502) 2334 2974,Deportes
93,Delfines S.A.,Guatemala - Guatemala,9 Calle 20-81 Zona 14,(+502) 2337 2779,Deportes
94,Partido,Guatemala - Guatemala,"2 Calle 36-36 Zona 7, Calzada Mateo Flores",(+502) 2439 4388,Deportes
95,Hotel Villa Deportiva,Guatemala - Guatemala,12 AV 26-25 Z-5,(+502) 2332 7767,Deportes
96,Deportes Online,Guatemala - Guatemala,31 Avenida 22-51 Condominio El Refugio Edificio G Nivel 1 Apto 1 Zona 18,(+502) 4259 3773,Deportes
97,Mundo Deportes,Guatemala - Guatemala,31 AVENIDA 22-51 Z-18 CONDOMINIO EL REFUGIO EDIFICIO G NIVEL 2 APTO 4,(+502) 5496 0386,Deportes
98,Hacienda Nueva Country Club,Guatemala - Guatemala,Km 24.5 Ruta Nacional 18 San José Pinula Mataquescuintla,(+502) 6628 1000,Deportes
99,Aquatic Center,Guatemala - Guatemala,Km 15.5 Carretera A El Salvador Lote 1L Puerta Parada,(+502) 5217 8526,Deportes
100,Balance Concept Zona 13,Guatemala - Guatemala,Avenida Las Americas 19-30 Zona 13,(+502) 5809 1997,Deportes
101,Big Mountain (Miraflores),Guatemala - Guatemala,5 Av B 3-15 Zona 9,(+502) 2470 8393,Deportes
102,Club La Villa,Guatemala - Guatemala,20 Avenida 8-81,(+502) 2333 7324,Deportes
103,Club Municipal,Guatemala - Guatemala,1 Avenida 2-40 Zona 01 Aldea Don Justo,(+502) 2333 0037,Deportes
104,Escandinavia Gym,Guatemala - Guatemala,Búl Vista Hermosa 2195 Z 15,(+502) 2369 1018,Deportes
105,Fed. Nac. De Tenis De Campo De Guatemala,Guatemala - Guatemala,3 Calle 16-75 Zona 15 Colonia Minerva,(+502) 2369 8771,Deportes
106,Futeca Playball,Guatemala - Guatemala,Km20.8 Carr A El Salvador Fraijanes,(+502) 2424 3939,Deportes
107,Globaltone,Guatemala - Guatemala,5 Av 8-40 Z 01,(+502) 2238 4699,Deportes
108,Indesa (Scandinavia Gym),Guatemala - Guatemala,C.C. Chuckee Chese Local 6 Zona 9 Blvd Liberacion 6-31 Z9,(+502) 2377 3012,Deportes
109,La Rocalla,Guatemala - Guatemala,3 Calle 13-32 Zona 15 Colonia Tecun Uman,(+502) 2253 4223,Deportes
110,Scandinavia Gym,Retalhuleu - Retalhuleu,Cc. Paseo Las Palma Local #45 Retalhuleu,(+502) 2269 5604,Deportes
111,Scandinavia Gym,Huehuetenango - Huehuetenango,Calzada Kaibil Balam Z.0,(+502) 2269 5603,Deportes
112,Scandinavia San Cristobal,Guatemala - Guatemala,Boolevard San Cristobal 3 Calle 17-92 Zona 8 De Mixco,(+502) 2474 6367,Deportes
113,Scandinavia Zona 5,Guatemala - Guatemala,39 Avenida 21-07 Zona 5,(+502) 2474 8367,Deportes
114,Sodesa (Solucion Deportiva),Quetzaltenango - Quetzaltenango,"Diagonal 2, 27-61",(+502) 7763 7438,Deportes
115,Tiro Practico,Guatemala - Guatemala,9 Calle 4-15 Colonia El Campo I Zona 14,(+502) 2476 8262,Deportes
116,Top Spin,Guatemala - Guatemala,Km 14.1 Al Salv. Cc Paseo Sn Sebastian,(+502) 2369 8694,Deportes
117,Tres Virtudes (Pure Yoga),Guatemala - Guatemala,Diagonal 35 Boulevard Austriaco 16-25 C.C. Cardales S-207 Zona 16,(+502) 2491 4240,Deportes
118,Zona Pilates,Guatemala - Guatemala,16 Calle 0-27 Zona 14,(+502) 2368 1844,Deportes
119,All Gym,Quetzaltenango - Quetzaltenango,6 C. C 4-12 Z 9 2 Niv. Los Cerezos I,(+502) 4326 4790,Deportes
120,Billar Club,Guatemala - Guatemala,12 Calle 1-25 Zona 10; Local 3,(+502) 2366 1712,Deportes
121,Gimnasio Shadday,Quetzaltenango - Quetzaltenango,4A Calle 15 Ave 3-51 Z.1 Quetgo,(+502) 7761 9720,Deportes
122,Seguridad Maxima-A Semax-A,Jutiapa - Jutiapa,9 Av. 5-75 Zona 3 Barrio Cerro Colorado,(+502) 4220 2024,Deportes
123,Tenis Todo,Guatemala - Guatemala,12 Avenida 5-16 Zona 1,(+502) 2361 2467,Deportes
124,Xfit Gym Y Spa,Guatemala - Guatemala,15 Av. 0-95 Monte Real Zona 4 De Mixco,(+502) 5455 0521,Deportes
125,Conader,Guatemala - Guatemala,Av 7a 6-31 Z 13,(+502) 2475 4743,Deportes
126,Federación Nacional De Ajedrez De Guatemala,Guatemala - Guatemala,Av 10 A 25-01 Z 5,(+502) 2360 8267,Deportes
127,Asecondep,Guatemala - Guatemala,"14 AVENIDA 3-26 ZONA 3 COLONIA VALLE DEL SOL, MIXCO",(+502) 4907 1605,Deportes
128,Direccion General Del Deporte Y La Recreacion,Guatemala - Guatemala,6 Calle Y 6 Avenida Z.1,(+502) 3001 6520,Deportes
129,Liga De Futbol Segunda División De No Aficionados,Guatemala - Guatemala,Cl 2 A 15-57 Zona 15,(+502) 2365 8200,Deportes
130,Golden Dreams Gt,Guatemala - Guatemala,Av 5 A 10-68 Zona 1,(+502) 4522 2479,Deportes
131,Pilates Powerhouse Studio,Guatemala - Guatemala,Cl 16 22-40 Z 10,(+502) 2337 1283,Deportes
132,Club Deportivo Cotzumalguapa,Escuintla - Escuintla,Cl 3-46 Zona 1 Santa Lucia Cotzumalguapa,(+502) 7882 5104,Deportes
133,Gimnasio Maya,Mazatenango - Suchitepequez,Cl 2-94 Zona 1 Mazatenango,(+502) 7872 2553,Deportes
134,Hogarama Sport,Guatemala - Guatemala,Calzada Aguilar Batres 34-70 Zona 11 Centro Comercial Galerias Del Sur Guatemala Ciudad,(+502) 2476 8166,Deportes
135,Action Sports,Quetzaltenango - Quetzaltenango,Cl Zona 1 Edificio Municipal Quetzaltenango,(+502) 7765 3279,Deportes
136,Atlanta Sport,Guatemala - Guatemala,Cl 5-00 Zona 3 Guatemala Ciudad,(+502) 2472 1559,Deportes
137,Atlas,Guatemala - Guatemala,Cl 32-30 Zona 7 Colonia Toledo Guatemala Ciudad,(+502) 5599 6800,Deportes
138,Bazar Deportivo Heidy,Escuintla - Escuintla,Cl 2-23 Zona 1 Edificio Comercial El Portalito San Jose,(+502) 7881 2106,Deportes
139,Centro Deportivo Jaguar Sport,Cobán - Alta Verapaz,Cl 1-12 Zona 1 Coban,(+502) 7951 1166,Deportes
140,Centro Deportivo Paiz,Chiquimula - Chiquimula,Cl 10-20 Zona 1 Chiquimula,(+502) 7942 3713,Deportes
141,Centro Deportivo Werner,Cuilapa - Santa Rosa,Cl 1-53 Zona 1 Colonia El Centro Cuilapa,(+502) 7886 5147,Deportes
142,Champs City,Escuintla - Escuintla,Av Local 26 Zona 2 Escuintla,(+502) 7889 3740,Deportes
143,Creaciones Leomara,Totonicapán - Totonicapan,Km. 189 Canton Nimapa Paraje Chipatris Totonicapan,(+502) 5801 0368,Deportes
144,Deportes Saga,Santa Cruz Del Quiché - Quiche,Av 3-18 Zona 5 Santa Cruz Del Quiche,(+502) 7755 3474,Deportes
145,Deporticentro Jose,Chiquimulilla - Santa Rosa,Cl Principal Zona 3 Colonia Santiag Chiquimulilla,(+502) 7885 0863,Deportes
146,El Mundo Deportivo,Guatemala - Guatemala,Av 17-40 Zona 1 Guatemala Ciudad,(+502) 2253 7003,Deportes
147,Gimnasio Coloso,Guatemala - Guatemala,Av 20-30 Zona 3 Guatemala Ciudad,(+502) 2230 4660,Deportes
148,Gimnasio Hercules,Guatemala - Guatemala,Cl 1-53 Zona 1 Guatemala Ciudad,(+502) 2238 4178,Deportes
149,Gimnasio Sas,Quetzaltenango - Quetzaltenango,Cl 4-58 Zona 1 Colonia La Esperanza Coatepeque,(+502) 7775 1892,Deportes
150,Implementos Deportivos Orellana,Guatemala - Guatemala,Cl 25-59 Zona 5 Colonia La Palmita Guatemala Ciudad,(+502) 5407 8000,Deportes
151,Multideportes,Guatemala - Guatemala,Calzada Aguilar Batres 34-70 Zona 11 Centro Comercial Galerias Del Sur Guatemala Ciudad,(+502) 2476 3943,Deportes
152,Mundo Deportivo Fetzer,Cobán - Alta Verapaz,Zona 2 Coban,(+502) 7951 0616,Deportes
153,Olimpus Gym,Zacapa - Zacapa,Cl 13-36 Zona 1 Colonia La Sociedad Zacapa,(+502) 7941 5145,Deportes
154,Soccer Express,Guatemala - Guatemala,Av 13-38 Zona 1 Guatemala Ciudad,(+502) 2221 0347,Deportes
155,Vida Sana,Guatemala - Guatemala,Calzada Aguilar Batres 34-70 Zona 11 Centro Comercial Galerias Del Sur Guatemala Ciudad,(+502) 2476 8145,Deportes
